zip_code,cases,cases_norm,week,cases_change,cases_norm_change
97239,68,480.6,2020-09-10,1,7.100000000000023
97266,334,1003.0,2020-09-10,16,48
97267,149,483.2,2020-09-10,11,35.69999999999999
97301,662,1237.0,2020-09-10,43,80.40000000000009
97302,201,541.3,2020-09-10,9,24.199999999999932
97303,395,1021.6,2020-09-10,25,64.60000000000002
97304,259,910.2,2020-09-10,12,42.10000000000002
97305,678,1687.6,2020-09-10,48,119.5
97306,206,752.9,2020-09-10,7,25.600000000000023
97317,242,993.6,2020-09-10,11,45.10000000000002
97321,108,433.2,2020-09-10,4,16
97322,146,428.9,2020-09-10,5,14.699999999999989
97324,5,n/a,2020-09-10,0,0
97325,37,559.4,2020-09-10,0,0
97327,5,n/a,2020-09-10,0,0
97330,122,294.1,2020-09-10,6,14.400000000000034
97331,5,n/a,2020-09-10,0,0
97333,46,215.1,2020-09-10,4,18.599999999999994
97338,47,234.5,2020-09-10,3,15
97341,5,n/a,2020-09-10,0,0
97344,5,n/a,2020-09-10,0,0
97347,5,n/a,2020-09-10,0,0
97348,5,n/a,2020-09-10,0,0
97351,81,785.9,2020-09-10,6,58.19999999999993
97352,18,321.2,2020-09-10,1,17.80000000000001
97355,92,321.5,2020-09-10,3,10.5
97358,0,0,2020-09-10,0,0
97360,5,n/a,2020-09-10,0,0
97361,53,470.8,2020-09-10,5,44.400000000000034
97362,49,1129.6,2020-09-10,6,138.39999999999986
97365,314,2922.6,2020-09-10,-1,-9.300000000000182
97366,10,684.9,2020-09-10,0,0
97367,84,892.1,2020-09-10,1,10.600000000000023
97368,5,n/a,2020-09-10,0,0
97370,30,362.7,2020-09-10,3,36.30000000000001
97374,12,227.9,2020-09-10,1,19
97375,12,958.5,2020-09-10,0,0
97376,5,n/a,2020-09-10,0,0
97378,26,292.7,2020-09-10,2,22.5
97380,13,530.8,2020-09-10,1,40.799999999999955
97381,104,707.0,2020-09-10,3,20.399999999999977
97383,50,521.5,2020-09-10,3,31.30000000000001
97385,21,644.8,2020-09-10,0,0
97386,17,125.3,2020-09-10,0,0
97389,5,n/a,2020-09-10,0,0
97391,18,336.8,2020-09-10,1,18.69999999999999
97392,29,558.7,2020-09-10,2,38.60000000000002
97394,5,n/a,2020-09-10,0,0
97396,5,n/a,2020-09-10,0,0
97401,114,281.3,2020-09-10,7,17.19999999999999
97402,139,276.1,2020-09-10,26,51.60000000000002
97403,27,232.3,2020-09-10,3,25.80000000000001
97404,61,189.1,2020-09-10,11,34.099999999999994
97405,64,143.4,2020-09-10,5,11.200000000000017
97408,36,307.4,2020-09-10,2,17.099999999999966
97411,5,n/a,2020-09-10,0,0
97415,18,128.1,2020-09-10,3,21.299999999999997
97417,5,n/a,2020-09-10,0,0
97419,5,n/a,2020-09-10,0,0
97420,52,189.3,2020-09-10,7,25.5
97423,13,190.9,2020-09-10,0,0
97424,31,176.2,2020-09-10,6,34.099999999999994
97426,15,154.4,2020-09-10,1,10.300000000000011
97431,5,n/a,2020-09-10,0,0
97435,5,n/a,2020-09-10,0,0
97437,5,n/a,2020-09-10,0,0
97438,5,n/a,2020-09-10,0,0
97439,20,139.4,2020-09-10,1,6.900000000000006
97442,5,n/a,2020-09-10,5,0
97443,5,n/a,2020-09-10,0,0
97444,5,n/a,2020-09-10,0,0
97446,21,436.4,2020-09-10,2,41.599999999999966
97448,13,106.2,2020-09-10,1,8.200000000000003
97449,0,0,2020-09-10,0,0
97452,5,n/a,2020-09-10,0,0
97454,0,0,2020-09-10,0,0
97455,5,n/a,2020-09-10,0,0
97456,5,n/a,2020-09-10,0,0
97457,10,98.0,2020-09-10,5,0
97458,5,n/a,2020-09-10,0,0
97459,51,361.8,2020-09-10,5,35.5
97462,11,279.3,2020-09-10,0,0
97463,5,n/a,2020-09-10,0,0
97465,0,0,2020-09-10,0,0
97467,5,n/a,2020-09-10,0,0
